"","main","clark","stage","age","gender","clark","stage","age","gender"
"DRD2",-0.0951,0,0,0,0,0.8252,0.1033,0.1784,0.0234
"AEN",0.0101,0,0,0,0,0.8343,0.1056,0.1603,0.0231
"BGLAP",0,0.0666,0,0,0,0.8429,0.0971,0.1753,0.0036
"MPC1",0,-0.0746,0,0,0,0.8312,0.1076,0.1518,0.0082
"PTRHD1",0,0.3062,0,0,0,0.7817,0.1133,0.1852,-0.0233
"CHP1",0.1512,-0.0926,0,0,0,0.826,0.1399,0.2106,0.0437
"HSPA12B",0,0.2636,0,0,0,0.7566,0.1243,0.1556,0.0164
"LDLRAD2",0,0.3141,0,0,0,0.7567,0.1018,0.1723,-0.0016
"LRFN1",0,0.08,0,0,0,0.8032,0.0988,0.1648,0.0041
"MATN4",0,0,0,-0.0629,0,0.8316,0.0993,0.1597,0.0211
"MDM1",-0.1458,0,0,0,0,0.7868,0.1065,0.2061,0.014
"MYOD1",-0.483,0.3929,0,0,0,0.938,0.1131,0.1778,0.0118
"OLFML2B",-0.1302,0,0,0,0,0.8266,0.0973,0.1881,0.0013
"SLC51A",-0.0718,0,0,0,0,0.8206,0.0998,0.1771,0.0239
"PIGH",0.1234,0,0,0,0,0.8496,0.1077,0.1604,0.0195
"PITPNA",0.0749,0,0,0,0,0.8035,0.1256,0.1945,-0.0065
"PTPRB",-0.0798,0,0,0,0,0.8348,0.1028,0.1678,0.0134
"PXDNL",-0.1525,0,0,0,0,0.8271,0.1229,0.1719,0.0123
"SCX",-0.1658,0,0,0,0,0.8439,0.0938,0.1978,0.021
"SEMA6C",-0.1678,0,0,0,0,0.8142,0.0987,0.158,0.0158
"SHOC2",-0.1618,0,0,0,0,0.8174,0.1095,0.1804,-0.0053
"SSTR2",-0.1505,0,0,0,0,0.8108,0.1146,0.1865,0.0195
"THADA",-0.099,0,0,0,0,0.7947,0.1227,0.162,0.0387
"ANKRD28",0.0572,0,0,0,0,0.8101,0.1147,0.1709,0.0351
"BICD2",0.1128,0,0,0,0,0.8159,0.1143,0.1505,0.0129
"BST1",0.0698,0,0,0,0,0.8041,0.1216,0.1798,0.0281
"STPG1",0.0777,0,0,0,0,0.7907,0.1235,0.1727,0.0228
"C1ORF216",0.0634,0,0,0,0,0.8092,0.1112,0.1631,0.031
"CAPN1",0.0654,0,0,0,0,0.8104,0.0942,0.1698,0.0221
"CBR3",0.0502,0,0,0,0,0.8247,0.119,0.165,0.031
"CC2D1B",0.0187,0,0,0,0,0.8234,0.1026,0.1733,0.0222
"CWC27",-0.0735,0,0,0,0,0.8231,0.0921,0.1684,0.0268
"DNAJA4",0.0737,0,0,0,0,0.8645,0.0959,0.1638,0.0314
"DPP3",0.07,0,0,0,0,0.8331,0.1009,0.1753,0.0217
"ENPEP",-0.099,0,0,0,0,0.8294,0.1127,0.1542,0.0071
"FHL5",-0.2452,0,0,0,0,0.7983,0.1365,0.169,0.0047
"FILIP1",-0.1565,0,0,0,0,0.8077,0.1206,0.1648,0.0077
"FKBP5",-0.1026,0,0,0,0,0.8406,0.0921,0.1787,0.0229
"FLT4",-0.0698,0,0,0,0,0.8156,0.1052,0.1777,0.0169
"ADGRF5",-0.1181,0,0,0,0,0.8313,0.0993,0.1626,0.0283
"GPR20",-0.1658,0,0,0,0,0.8076,0.1162,0.1816,0.0224
"GRM6",-0.2065,0,0,0,0,0.8138,0.1041,0.1643,0.0386
"HEXA",0.0334,0,0,0,0,0.8316,0.0929,0.156,0.0163
"HIC1",-0.1593,0,0,0,0,0.8183,0.0923,0.1836,0.0144
"HIGD1B",-0.1783,0,0,0,0,0.8143,0.1069,0.1554,0.0174
"ID2",-0.0607,0,0,0,0,0.8366,0.104,0.1878,0.0237
"IGLL1",-0.1886,0,0,0,0,0.8166,0.1316,0.1834,0.021
"INO80C",-0.019,0,0,0,0,0.8226,0.1,0.1857,0.0201
"JMJD8",-0.0472,0,0,0,0,0.8206,0.097,0.1676,0.0229
"KCTD11",0.0357,0,0,0,0,0.8212,0.1025,0.1605,0.0134
"LAMP1",-0.0371,0,0,0,0,0.8444,0.1016,0.1784,0.0181
"LDLRAD3",0.07,0,0,0,0,0.8249,0.1125,0.2029,0.0213
"LMX1A",-0.2524,0,0,0,0,0.8077,0.1127,0.1731,0.027
"LRP10",0.1473,0,0,0,0,0.8006,0.114,0.1672,0.0328
"LRRC56",0.0498,0,0,0,0,0.8182,0.1122,0.185,0.0237
"LTBR",-0.0228,0,0,0,0,0.8263,0.1015,0.1739,0.0113
"MAPK3",0.011,0,0,0,0,0.8281,0.1044,0.1769,0.0219
"MAPKBP1",0.093,0,0,0,0,0.8205,0.1324,0.1722,0.0326
"MAST2",-0.019,0,0,0,0,0.8258,0.1026,0.1724,0.0228
"MRPL1",-0.1466,0,0,0,0,0.7898,0.1242,0.1548,0.0202
"IRAG",-0.1512,0,0,0,0,0.7914,0.1155,0.1718,0.0201
"MYO1C",0.0018,0,0,0,0,0.8229,0.0998,0.1708,0.0206
"NHSL2",-0.152,0,0,0,0,0.8354,0.1258,0.1384,0.0021
"NLRX1",0.0526,0,0,0,0,0.8172,0.1026,0.1833,0.0138
"OGN",-0.1999,0,0,0,0,0.8417,0.1103,0.1738,0.0161
"OLFML1",-0.1122,0,0,0,0,0.8146,0.1103,0.1876,0.0179
"PARD6G",0.0784,0,0,0,0,0.8181,0.1104,0.1531,0.0107
"PIGZ",0.0241,0,0,0,0,0.8382,0.1031,0.1739,0.0152
"PLD2",0.023,0,0,0,0,0.8355,0.1038,0.1615,0.0153
"PLEKHO1",-0.131,0,0,0,0,0.8239,0.1008,0.1943,0.039
"PSMB2",-0.0269,0,0,0,0,0.8322,0.1034,0.1842,0.0147
"PSMD9",0.0051,0,0,0,0,0.8227,0.1044,0.1652,0.0174
"PTPN4",-0.0749,0,0,0,0,0.8288,0.1086,0.1579,0.0187
"RAB5C",0.125,0,0,0,0,0.8114,0.0875,0.1528,0.0013
"RBMX",-0.118,0,0,0,0,0.82,0.0957,0.1586,0.0301
"KBF2",-0.1824,0,0,0,0,0.7984,0.1165,0.1835,-0.007
"PPP6R2",-0.0279,0,0,0,0,0.8247,0.1007,0.1741,0.0244
"SDHAF2",0.0101,0,0,0,0,0.8283,0.0987,0.1662,0.0177
"SEMA5B",-0.1654,0,0,0,0,0.8341,0.1015,0.1578,0.0219
"SESN2",0.0967,0,0,0,0,0.8329,0.1138,0.196,0.0278
"SHISA5",-0.0067,0,0,0,0,0.808,0.1058,0.1727,0.0156
"SMARCD2",0.0975,0,0,0,0,0.805,0.1161,0.1868,0.0091
"SON",0.0362,0,0,0,0,0.8197,0.1102,0.1775,0.0216
"DKFZP586C1324",0.0597,0,0,0,0,0.8158,0.0959,0.177,0.0205
"STXBP4",-0.0271,0,0,0,0,0.8121,0.1145,0.1792,0.0222
"THAP2",-0.094,0,0,0,0,0.8143,0.1026,0.1739,0.0171
"TIE1",-0.0411,0,0,0,0,0.8124,0.1076,0.1729,0.0257
"TMCC2",0.0137,0,0,0,0,0.8217,0.0996,0.1687,0.0182
"TMEM159",0.1122,0,0,0,0,0.8329,0.1155,0.1834,0.0281
"TMEM53",0.0206,0,0,0,0,0.8163,0.108,0.1781,0.0214
"TP53I11",-0.1922,0,0,0,0,0.8222,0.1311,0.1569,0.0382
"TUBB6",0.0045,0,0,0,0,0.8329,0.1049,0.1771,0.0238
"TUFT1",0.0624,0,0,0,0,0.8367,0.1066,0.1693,0.0207
"UBXN4",-0.0568,0,0,0,0,0.8184,0.108,0.1851,0.0207
"ULK3",0.0131,0,0,0,0,0.8318,0.1044,0.173,0.011
"VOPP1",-0.1438,0,0,0,0,0.7894,0.1242,0.1851,0.0372
"VPS37B",0.0459,0,0,0,0,0.8406,0.0998,0.1534,0.0145
"ZFP62",-0.1489,0,0,0,0,0.8084,0.1057,0.1488,0.0206
