"","main","clark","stage","age","gender","clark","stage","age","gender"
"CDR1",0.039,0,0,0,0,0.727,0.2299,0.1119,-0.0099
"DRD2",0.0088,0,0,0,0,0.7306,0.231,0.1109,-0.0088
"BGLAP",-0.0365,0,0,0,0,0.7266,0.2324,0.1128,-0.0078
"CHP1",0.2118,0,0,0,0,0.7132,0.2459,0.1074,-0.0044
"MGC4485",-0.1008,0,0,0,0,0.7296,0.2304,0.1123,-0.0055
"JUN",-0.1879,0,0,0,0,0.7345,0.2182,0.1193,-0.0114
"KCTD21",0.0405,0,0,0,0,0.7233,0.2291,0.111,-0.0121
"MYOD1",-0.0826,0,0,0,0,0.7361,0.2231,0.1116,-0.007
"OXT",-0.0253,0,0,0,0,0.7351,0.2286,0.1121,-0.009
"PER1",-0.2017,0,0,0,0,0.7284,0.2171,0.1216,-0.0106
"PITPNA",0.2334,0,0,0,0,0.7183,0.2263,0.128,-0.0403
"PNMT",-0.0778,0,0,0,0,0.7311,0.2315,0.1142,-0.0079
"SCX",-0.1239,0,0,0,0,0.7353,0.2273,0.1186,-0.0151
"SEMA6C",-0.2026,0,0,0,0,0.7444,0.222,0.1127,-0.0089
"SSTR2",-0.1401,0,0,0,0,0.7408,0.2248,0.108,-0.0099
"STX3",0.2046,0,0,0,0,0.7349,0.2374,0.0854,-0.0157
"TATDN1",-0.0702,0,0,0,0,0.7328,0.229,0.1072,-0.0049
"THADA",-0.2065,0,0,0,0,0.714,0.2465,0.0847,-0.0126
"C6orf46",-0.1174,0,0,0,0,0.7426,0.2179,0.1195,-0.0152
"ZP4",-0.0302,0,0,0,0,0.7268,0.2276,0.1107,-0.0102
"ACTA2",-0.166,0,0,0,0,0.7494,0.2313,0.0893,-0.0159
"CAR10",-0.229,0,0,0,0,0.7296,0.2298,0.0958,-0.0032
"AGER",-0.1244,0,0,0,0,0.7369,0.2229,0.1142,-0.0104
"AGR3",-0.1086,0,0,0,0,0.7346,0.2232,0.1137,-0.0111
"ANKRD28",0.1061,0,0,0,0,0.7155,0.2375,0.1124,0.0021
"AOC3",-0.1956,0,0,0,0,0.7575,0.215,0.0783,-0.0265
"ARMC9",0.1496,0,0,0,0,0.7225,0.2335,0.0968,-0.0117
"BGN",-0.1861,0,0,0,0,0.7446,0.2353,0.0971,-0.0214
"BICD2",0.1881,0,0,0,0,0.719,0.239,0.1023,-0.0071
"BMP4",-0.1622,0,0,0,0,0.7465,0.2223,0.1085,-0.0092
"BTNL9",-0.2067,0,0,0,0,0.7218,0.2229,0.1092,-7e-04
"C1ORF54",-0.1842,0,0,0,0,0.7106,0.2452,0.0948,-7e-04
"CYP1B1-AS1",-0.0943,0,0,0,0,0.7329,0.2312,0.1091,-0.0086
"CALCRL",-0.1838,0,0,0,0,0.7229,0.2373,0.094,-0.0054
"CD248",-0.1007,0,0,0,0,0.7473,0.2308,0.1072,-0.0164
"CELSR2",0.1461,0,0,0,0,0.713,0.2477,0.1022,0.0085
"CLVS1",-0.1739,0,0,0,0,0.7211,0.2309,0.1172,-0.017
"COX4I2",-0.17,0,0,0,0,0.7386,0.232,0.1161,-0.0059
"COX8C",0.0469,0,0,0,0,0.7287,0.2274,0.1067,-0.0072
"CPXM1",-0.2841,0,0,0,0,0.7091,0.268,0.1092,-0.0142
"CRX",-0.1832,0,0,0,0,0.7383,0.2316,0.1052,-0.0016
"DCLK3",-0.1897,0,0,0,0,0.7372,0.221,0.102,-0.0123
"DNASE1L1",0.1719,0,0,0,0,0.7139,0.2215,0.1009,-0.0356
"ENPEP",-0.1912,0,0,0,0,0.7428,0.2274,0.0958,-0.0025
"FAIM2",-0.1229,0,0,0,0,0.7318,0.2313,0.1058,-0.0143
"FAM43A",0.1065,0,0,0,0,0.7211,0.2255,0.1112,-0.0098
"FGF21",0.025,0,0,0,0,0.7305,0.2293,0.11,-0.0099
"FGF8",-0.0142,0,0,0,0,0.7304,0.2282,0.112,-0.005
"FHL5",-0.1773,0,0,0,0,0.7384,0.2262,0.0869,-0.0133
"FILIP1",-0.2281,0,0,0,0,0.7278,0.2292,0.0952,-8e-04
"FLT4",-0.0848,0,0,0,0,0.7395,0.2331,0.1054,-0.0052
"GLI2",-0.0839,0,0,0,0,0.7298,0.2286,0.1175,-0.0059
"ADGRF5",-0.1846,0,0,0,0,0.7382,0.2096,0.0864,-0.0063
"GRM6",-0.1508,0,0,0,0,0.7307,0.2295,0.1172,-7e-04
"GSC",-0.2126,0,0,0,0,0.7347,0.2532,0.1014,-0.0078
"H2AFY2",-0.1355,0,0,0,0,0.7331,0.2176,0.1109,-0.0157
"HIC1",-0.1909,0,0,0,0,0.7315,0.2294,0.1044,-0.0246
"HIGD1B",-0.221,0,0,0,0,0.7379,0.2326,0.0876,0.0016
"HNRNPC",-0.165,0,0,0,0,0.7316,0.2088,0.1039,-0.0076
"JPH4",-0.1074,0,0,0,0,0.7323,0.2251,0.1146,-0.0121
"KIAA0284",0.2086,0,0,0,0,0.7208,0.2187,0.1071,0.0091
"LMX1A",-0.0941,0,0,0,0,0.7373,0.2349,0.1065,-0.0068
"ZFHX4-AS1",-0.2023,0,0,0,0,0.7263,0.2439,0.1051,-0.0072
"LRP10",0.1574,0,0,0,0,0.7129,0.2298,0.091,-0.0194
"LRRN2",-0.1355,0,0,0,0,0.7386,0.2245,0.1075,-0.0071
"MAGED4B",-0.203,0,0,0,0,0.7343,0.2375,0.0974,0.002
"MAGED4",-0.2568,0,0,0,0,0.7247,0.2683,0.0889,0.0039
"MINK1",0.1176,0,0,0,0,0.7239,0.227,0.1075,-0.017
"MLXIP",0.1735,0,0,0,0,0.7183,0.2299,0.0818,8e-04
"IRAG",-0.1723,0,0,0,0,0.7293,0.2345,0.0905,-0.0154
"MYLK2",-0.145,0,0,0,0,0.7294,0.2358,0.116,-0.0093
"MYO1C",0.1396,0,0,0,0,0.7109,0.2213,0.1001,-0.019
"NHSL2",-0.2533,0,0,0,0,0.728,0.2421,0.0844,-0.0145
"BCH",-0.0942,0,0,0,0,0.7363,0.2264,0.1109,-0.0075
"OGN",-0.1299,0,0,0,0,0.7359,0.2286,0.1143,-0.0156
"OLFML1",-0.1875,0,0,0,0,0.7396,0.2251,0.1013,-0.0184
"PCOLCE2",-0.1543,0,0,0,0,0.7308,0.2354,0.0984,0.0021
"PDGFRB",-0.1771,0,0,0,0,0.7407,0.2302,0.1025,-0.0125
"JADE1",-0.1538,0,0,0,0,0.7422,0.2102,0.1125,-0.0245
"PIP4K2C",0.0534,0,0,0,0,0.7231,0.2311,0.1045,-0.0099
"PKM",0.1536,0,0,0,0,0.7262,0.2249,0.1102,-0.007
"PLEKHO1",-0.2092,0,0,0,0,0.7206,0.2463,0.0786,-5e-04
"PRDM6",-0.1901,0,0,0,0,0.7243,0.2379,0.1135,-0.0133
"PVALB",-0.081,0,0,0,0,0.731,0.235,0.1142,-0.0061
"RAB5C",0.1827,0,0,0,0,0.7107,0.2403,0.0794,-0.0296
"RBM3",0.1966,0,0,0,0,0.744,0.2304,0.0857,-0.0118
"RBMX",-0.1726,0,0,0,0,0.7267,0.1994,0.1003,-0.0078
"KBF2",-0.2779,0,0,0,0,0.699,0.2287,0.0988,-0.0221
"SCAMP2",0.1052,0,0,0,0,0.7212,0.2317,0.1022,-0.018
"SCARNA17",-0.1603,0,0,0,0,0.7282,0.2279,0.1121,-0.0032
"SEMA5B",-0.1992,0,0,0,0,0.7499,0.2224,0.0978,-0.0045
"SFTA2",-0.0854,0,0,0,0,0.7375,0.2247,0.1132,-0.0078
"SMOC2",-0.1721,0,0,0,0,0.7447,0.2344,0.1056,-0.0137
"SYNGR4",0.0141,0,0,0,0,0.7311,0.2294,0.1113,-0.0095
"TBC1D1",-0.1726,0,0,0,0,0.7379,0.2077,0.0941,-0.0092
"TEKT2",-0.1158,0,0,0,0,0.7275,0.2323,0.1251,-0.0053
"TIE1",-0.1597,0,0,0,0,0.7409,0.223,0.1007,-0.0181
"TMEM159",0.1977,0,0,0,0,0.7061,0.2325,0.0864,-0.0103
"TNFAIP1",0.1658,0,0,0,0,0.7041,0.2378,0.0889,-0.0165
"TNFRSF4",-0.2092,0,0,0,0,0.7177,0.254,0.0658,-6e-04
