"","gene_name","rsID","main","age","act","trans","ceraf","chol","age.1","act.1","trans.1","ceraf.1","chol.1"
"1","RN7SL63P","rs7092615",0.4627,0,0,0,0,0,-0.804,-1.9929,0.8694,-0.9393,1.396
"2","RP11-478B11.2","rs11005073",0.6746,0,0,0,0,0,-0.8737,-1.9878,0.8588,-0.9761,1.3417
"3","KRT8P37","rs2646392",0.6888,0,0,0,0,0,-0.8169,-1.9934,0.8157,-0.9951,1.3271
"4","ADARB2","rs17156306",0,0,0,0,0,0.653,-0.8285,-1.9802,0.8815,-0.9679,1.368
"5","FAM107B","rs4750551",-0.6538,0,0,0,0,0,-0.8101,-1.9832,0.8901,-0.9783,1.3649
"6","RP11-478B11.2","rs11005085",0.6801,0,0,0,0,0,-0.8522,-1.9522,0.8766,-0.9621,1.3204
"7","PRKCQ-AS1","rs10904620",0.6984,0,0,0,0,0,-0.7877,-1.9313,0.8634,-0.9834,1.3442
"8","EGR2","rs10822085",0.811,0,0,0,0,0,-0.7793,-2.0056,0.8509,-1.0481,1.3325
"9","RP11-554I8.1","rs11253683",0.6374,0,0,0,0,0,-0.7916,-2.0163,0.8515,-0.9958,1.3607
"10","PTCHD3","rs2478251",0.6256,0,0,0,0,0,-0.8507,-2.0043,0.9012,-0.9489,1.3472
"11","PTCHD3","rs2505334",0.6807,0,0,0,0,0,-0.8487,-1.9687,0.916,-0.9278,1.3417
"12","SVIL","rs11599713",-0.7485,0,0,0,0,0,-0.7875,-1.9857,0.8345,-1.0183,1.299
"13","EGR2","rs4746725",0.7713,0,0,0,0,0,-0.7596,-2.011,0.8944,-0.9732,1.3269
"14","RNMTL1P1","rs10828243",0.6047,0,0,0,0,0,-0.7953,-2.0041,0.8648,-0.947,1.3469
"15","RP11-526P5.2","rs1537615",0.9357,0,0,0,0,0,-0.8123,-1.9528,0.9167,-0.9976,1.3138
"16","KRT8P37","rs2765398",0.6686,0,0,0,0,0,-0.7849,-1.9979,0.8412,-1.0211,1.2869
"17","RNU6-1075P","rs2991895",0.5704,0,0,0,0,0,-0.7908,-1.9605,0.8703,-0.9638,1.3126
"18","CELF2","rs4317891",0,-0.4987,0,0,0,0,-0.8321,-2.0104,0.8741,-0.972,1.3086
"19","LINC00845","rs7922793",0.6101,0,0,0,0,0,-0.7817,-1.9628,0.8833,-0.9816,1.3262
"20","EGR2","rs10740099",0.8052,0,0,0,0,0,-0.7674,-1.9778,0.8589,-1.0069,1.3325
"21","KRT8P37","rs4747800",0.6344,0,0,0,0,0,-0.7846,-1.9904,0.8243,-1.0098,1.3424
"22","RP11-319F12.2","rs1984275",0,0,0,0,-0.9194,0,-0.7924,-1.9809,0.9009,-1.0175,1.3385
"23","FAM107B","rs17256906",-0.809,0,0,0,0,0,-0.7673,-2.0293,0.8766,-1.0016,1.3106
"24","EGR2","rs7088733",0.7868,0,0,0,0,0,-0.7926,-2.02,0.7886,-0.981,1.3322
"25","EGR2","rs10761678",0.7853,0,0,0,0,0,-0.7928,-1.9902,0.8219,-0.985,1.325
"26","EGR2","rs10822083",0.7948,0,0,0,0,0,-0.8086,-2.0284,0.8582,-1.007,1.2824
"27","EGR2","rs11596699",0.8115,0,0,0,0,0,-0.7654,-1.9974,0.8473,-0.98,1.3326
"28","EGR2","rs10740094",0.8409,0,0,0,0,0,-0.7909,-1.9894,0.8075,-1.0136,1.2783
"29","RP11-490O24.2","rs12262192",0.9154,0,0,0,0,0,-0.8502,-1.9922,0.846,-1.0198,1.3326
"30","RP11-428L9.2","rs1001019",0,0,0,0,0,0.8071,-0.765,-2.0305,0.9006,-0.9904,1.306
"31","RP11-478B11.2","rs11005091",0.8366,0,0,0,0,0,-0.8096,-1.9732,0.8647,-0.9462,1.3394
"32","FAM107B","rs7922034",-0.7047,0,0,0,0,0,-0.7919,-1.9584,0.8786,-0.977,1.3364
"33","NAMPTL","rs2505600",0.7266,0,0,0,0,0,-0.8121,-2.0271,0.8708,-0.9865,1.3549
"34","snoU13","rs2137157",-0.8331,0,0,0,0,0,-0.8191,-1.9293,0.8653,-0.9498,1.3117
"35","RP11-526P5.2","rs1537616",0.976,0,0,0,0,0,-0.8553,-1.9639,0.8968,-0.9645,1.3395
"36","RP11-478B11.2","rs11005102",0.7239,0,0,0,0,0,-0.8222,-1.9497,0.9168,-0.9431,1.3078
"37","FRMD4A","rs873849",-0.7059,0,0,0,0,0,-0.8482,-2.0153,0.8474,-1.0024,1.3606
