"","gene_name","rsID","main","age","act","trans","ceraf","chol","age.1","act.1","trans.1","ceraf.1","chol.1"
"1","RP11-490O24.2","rs161405",0,-0.7889,0,0,0,0,-0.7551,-1.9955,0.9066,-0.9899,1.3471
"2","FAM107B","rs4750551",-0.6479,0,0,0,0,0,-0.7538,-1.9972,0.9042,-0.9863,1.407
"3","EGR2","rs10822085",0.8313,0,0,0,0,0,-0.7985,-1.9719,0.8236,-1.0462,1.3497
"4","ARL5B","rs7079742",0,0.8477,0,0,0,0,-0.8572,-2.0013,0.8682,-0.9956,1.3124
"5","EGR2","rs4746725",0.7486,0,0,0,0,0,-0.7957,-1.9965,0.8173,-0.967,1.3663
"6","FAM171A1","rs7087978",0,0,-0.9375,0,0,0,-0.806,-1.9599,0.9419,-0.9669,1.413
"7","LINC00707","rs10904957",0,0,0,0,0.9202,0,-0.8626,-2.0205,0.8757,-0.9083,1.3337
"8","RP11-428L9.2","rs11256115",0,0,0,0,0,0.7361,-0.7438,-1.9883,0.8878,-0.9829,1.3278
"9","RP11-170M17.1","rs1916458",0,0,0,-0.8862,0,0,-0.8149,-1.994,0.9484,-0.9832,1.2624
"10","RP11-526P5.2","rs1537615",0.9778,0,0,0,0,0,-0.8208,-1.9813,0.8781,-1.0038,1.3799
"11","GPR158","rs11014528",0,0,0,0.7772,0,0,-0.8139,-1.9625,0.8555,-0.9552,1.3454
"12","CELF2","rs4317891",0,-0.5053,0,0,0,0,-0.8055,-2.0219,0.8999,-0.9808,1.356
"13","EGR2","rs10740099",0.7856,0,0,0,0,0,-0.8035,-1.9766,0.8372,-1.0255,1.3485
"14","RP11-733D4.1","rs1771983",0,0,0.8279,0,0,0,-0.8102,-1.9767,0.8669,-1.0097,1.3352
"15","RP11-319F12.2","rs1984275",0,0,0,0,-0.9091,0,-0.7769,-1.9626,0.903,-0.9861,1.3426
"16","EGR2","rs10761678",0.8347,0,0,0,0,0,-0.7863,-2.0245,0.8121,-1.0307,1.3481
"17","CELF2","rs1547221",0,0,0,0,0,-0.8411,-0.8514,-1.9916,0.8793,-1.0072,1.3311
"18","RP11-490O24.2","rs224765",0,-1.0262,0,0,0,0,-0.7721,-1.9495,0.906,-0.9717,1.3092
"19","EGR2","rs10822083",0.8047,0,0,0,0,0,-0.7395,-2.0129,0.8552,-1.0008,1.3076
"20","EGR2","rs10740094",0.8515,0,0,0,0,0,-0.7667,-1.9738,0.795,-1.036,1.3126
"21","RP11-490O24.2","rs12262192",0.9221,0,0,0,0,0,-0.8227,-1.9938,0.8487,-1.001,1.3215
"22","RP11-428L9.2","rs1001019",0,0,0,0,0,0.7472,-0.8078,-1.9834,0.8498,-1.0245,1.315
