"","main","age","act","trans","ceraf","chol","age","act","trans","ceraf","chol"
"SNP_A-8288274",0,0,0,0,0,-0.0459,0.0197,-0.0919,-0.004,-0.099,-0.1162
"SNP_A-1907823",0,0,0,0,0,0.0846,-0.0203,-0.1135,0.0242,-0.101,-0.053
"SNP_A-8433975",0,0,0,0,0,-0.0796,-0.0676,-0.2111,0.0928,-0.1004,0.0418
"SNP_A-4268381",0,0,0,0,0,-0.0099,0.0424,-0.0872,-0.0027,-0.0732,0.0088
"SNP_A-2002361",0,0,0,0,0,-0.0015,0.0925,-0.0378,-0.0118,-0.1003,0.0119
"SNP_A-8398543",0,-0.0202,0,0,0,0,0.0521,-0.0956,-0.0236,-0.1151,-0.0216
"SNP_A-2254426",0.0153,0,0,0,0,0,0.1102,-0.1053,0.0578,-0.1236,-0.0304
"SNP_A-2183474",0.0508,0,0,0,0,0,0.0678,-0.0735,-0.0487,-0.1462,-0.0457
"SNP_A-4194948",0,0,0,0,-0.0018,0,-0.0847,-0.0046,-0.0446,-0.1791,0.0273
"SNP_A-2167849",0,0,0,-0.0055,0,0,0.0581,-0.0639,-0.0136,-0.1385,-0.0412
"SNP_A-4268414",0,-0.0356,0,0,0,0,0.0311,-0.0084,-0.0504,-0.1376,-0.0777
"SNP_A-2002540",0,-0.0051,0,0,0,0,-0.002,-0.0683,0.0171,-0.0829,-0.0344
"SNP_A-2001257",0.0356,0,0,0,0,0,-0.0417,-0.0679,0.0339,-0.097,0.0083
"SNP_A-2261751",0.0693,0,0,0,0,0,0.0305,-0.057,-0.0531,-0.1331,-0.0386
"SNP_A-4195921",-0.141,0,0,0,0,0,-0.0185,-0.0398,-0.1175,-0.1109,-0.03
"SNP_A-2136502",0,-0.0046,0,0,0,0,-0.0304,-0.0494,0.0623,-0.0761,0.0364
"SNP_A-4300147",0,-0.0209,0,0,0,0,0.0403,-0.0032,-0.0694,-0.0494,-0.0193
"SNP_A-1859442",0,-0.0631,0,0,0,0,-0.092,0.0111,-0.019,-0.0419,-0.0137
"SNP_A-1864267",0,0.01,0,0,0,0,-0.0048,-0.0052,0.0857,-0.0644,0.0049
"SNP_A-8443603",0,0.01,0,0,0,0,0.122,-0.0538,0.0085,-0.0811,-0.0411
"SNP_A-8291314",0,0,0,-0.0275,0,0,-0.0105,0.0094,0.0603,-0.0625,0.0448
"SNP_A-8367452",0,0,0,0,0,-0.0869,-0.0396,-0.0721,0.0347,-0.0891,-0.0253
"SNP_A-8292919",0,0,0,-0.0356,0,0,0.07,-0.0384,-0.0315,-0.0746,0.0816
"SNP_A-2097058",0,0,0,0,0,0.0242,0.0783,-0.0105,-0.0778,-0.0846,-6e-04
"SNP_A-8492959",-0.038,0,0,0,0,0,-0.0267,-0.1328,-0.0623,-0.0757,-0.0073
"SNP_A-4231490",0,0,0.0428,0,0,0,0.005,-0.0842,-0.0594,-0.1501,-0.0243
"SNP_A-4268631",0,-0.0541,0,0,0,0,0.0473,0.04,0.003,-0.0699,0.0752
"SNP_A-1802835",0,-0.0457,0,0,0,0,0.0477,-0.1088,-0.0165,-0.0684,-0.0986
"SNP_A-1871973",0,0.0154,0,0,0,0,0.1028,-0.0675,-0.0264,-0.1056,-0.0032
"SNP_A-1815878",0,-0.0671,0,0,0,0,0.1641,-0.0649,-0.0312,-0.1481,0.0346
"SNP_A-4268666",0,0.0317,0,0,0,0,-0.0155,-0.0119,-0.0864,-0.0608,-0.0123
"SNP_A-8711582",0,0.0647,0,0,0,0,-0.0032,-0.1616,0.0646,-0.1589,-0.0075
"SNP_A-8655239",0,0.0256,0,0,0,0,0.0516,-0.0706,0.0074,-0.1342,0.0264
"SNP_A-2277059",0,0.0491,0,0,0,0,0.0336,-0.0434,-0.0687,-0.163,-0.0646
"SNP_A-4218879",0,-0.0164,0,0,0,0,0.0718,-0.0112,-0.0412,-0.0631,0.0348
"SNP_A-4289744",0,0.0338,0,0,0,0,0.0504,-0.0711,0.1082,-0.1402,-0.0588
"SNP_A-2288770",0,0.0225,0,0,0,0,-0.0035,-0.0661,-0.0204,-0.1162,-0.0191
"SNP_A-2091685",0,0.0384,0,0,0,0,-0.0161,-0.0401,-0.0112,-0.1424,-0.0603
"SNP_A-8599668",0,0,0,0,0.0074,0,0.0548,0.0171,0.0354,-0.1373,0.0155
"SNP_A-8287476",-0.0492,0,0,0,0,0,0.048,-0.1041,0.0068,-0.1238,0.0504
"SNP_A-2032365",0.0375,0,0,0,0,0,-0.0551,-0.0538,0.0241,-0.1003,-0.0117
"SNP_A-8611800",0.0668,0,0,0,0,0,-0.0078,-0.0442,0.0289,-0.0712,0.0645
"SNP_A-2005327",0,0,0,-0.0462,0,0,-0.0145,-0.0457,0.0605,-0.0814,-0.05
"SNP_A-2197044",0,0,0,-0.067,0,0,0.0266,-0.0708,0.008,-0.1522,0.0583
"SNP_A-1851635",0,0,0,0.032,0,0,0.0376,-0.0946,0.0116,-0.124,-0.0167
"SNP_A-2157590",0,0,0,0.0964,0,0,0.0145,-0.0645,-0.0178,-0.0153,0.0139
"SNP_A-4289179",0,0,0,-0.0664,0,0,-0.161,-0.0467,0.0723,-0.0945,0.0695
"SNP_A-2302473",0,0,0,-0.0393,0,0,0.1427,-0.1816,-0.033,-0.1987,0.0706
"SNP_A-2107591",0,0,0,-0.0306,0,0,0.0248,-0.1214,-0.0274,-0.1951,-0.023
"SNP_A-2005330",0,0,0,-0.0793,0,0,-0.0454,-0.1178,-0.1337,-0.1906,-0.0405
"SNP_A-2137030",0,0,0,0.0744,0,0,-0.0844,-0.0716,0.0152,-0.1816,0.0627
"SNP_A-2111200",0,0,0,-0.0178,0,0,-0.017,0.0312,-0.0837,-0.0504,-0.0091
"SNP_A-1920997",0,0,0,-0.0124,0,0,0.0197,-0.0698,-0.0524,-0.0969,-0.0631
"SNP_A-4204272",0,0,0,0.008,0,0,-0.0401,-0.044,0.0274,-0.1822,-0.0114
"SNP_A-8646971",0,0,0,-0.0161,0,0,0.1297,-0.0117,-0.0593,-0.0407,0.0186
"SNP_A-1820379",0,0,0,-0.071,0,0,0.0353,0.016,0.0346,-0.168,0.0213
"SNP_A-2222072",0.0128,0,0,0,0,0,-0.1569,-0.0986,0.0589,-0.0754,-0.0231
"SNP_A-4268845",-0.0197,0,0,0,0,0,0.0436,-0.0861,0.096,-0.0688,0.0413
"SNP_A-8706646",0,0.0109,0,0,0,0,0.0163,-0.0944,-0.0445,-0.0965,0.0017
"SNP_A-4206842",0.0106,0,0,0,0,0,-0.0107,-0.1632,-0.0186,-0.0709,-0.0777
"SNP_A-4234304",-0.0335,0,0,0,0,0,-0.0722,-0.1153,0.0516,-0.0149,0.0321
"SNP_A-8367373",0,0,0,0.0615,0,0,-0.0292,0.0127,0.055,-0.0975,-0.0298
"SNP_A-8388726",0,0,0,0.0165,0,0,-0.0548,-0.1264,0.0436,-0.0882,0.062
"SNP_A-8520307",0,0,0,0,0,-0.0435,0.0606,-0.1372,-0.0204,-0.0564,-0.0084
"SNP_A-2001475",0,0,0,0,0,0.0102,-0.0884,-0.0213,-0.0371,-0.0746,-0.005
"SNP_A-8310678",0,0,0,0,0,0.009,0.0716,-0.1111,0.0917,-0.113,0.0137
"SNP_A-1864072",0,0,0,0,0,-0.02,-0.0316,-0.1272,0.0453,-0.1262,-0.0843
"SNP_A-8291102",0,0,0,0,0,-0.0254,-0.0189,0.0223,0.0274,-0.0491,-0.1108
"SNP_A-2274972",0,0,0,0,0,-0.0492,-0.0195,-0.13,-0.1245,-0.0417,-0.0721
"SNP_A-2005802",0,0,0,0,0,-0.0502,-0.0647,-0.1218,0.0108,-0.1133,-0.1058
"SNP_A-2165321",0,0,0,0,0,-0.0263,0.0027,-0.1044,0.0096,-0.1099,-0.112
"SNP_A-8434868",0,0.0459,0,0,0,-0.0084,0.1449,-0.0956,0.0245,-0.0586,-0.0308
"SNP_A-2236256",0,0,0,0,-0.0352,0,-0.0162,-0.1263,0.0402,-0.2205,0.0092
"SNP_A-1798337",0,0,0,0,0,-0.0933,0.0161,-0.0626,2e-04,-0.138,-0.0691
"SNP_A-1899395",-0.1585,0,0,0,0,0,0.0178,-0.0272,-0.0302,-0.1308,-0.0358
"SNP_A-2181744",-0.1623,0,0,0,0,0,-0.0193,-0.0916,0.097,-0.1129,-0.1502
"SNP_A-1839723",-0.0052,0,-0.0608,0,0,0,-0.1144,-0.1202,0.0245,-0.0804,0.0723
"SNP_A-2001504",0.0426,0,-0.0474,0,0,0,0.056,-0.0761,-0.0204,-0.1131,0.0033
"SNP_A-8654745",-0.0417,0,0,0,0,0,0.008,-0.1233,0.0692,-0.1261,-0.0658
"SNP_A-4244475",0,0,0,0,0,-0.1295,-0.0494,-0.0555,0.0014,-0.0705,0.0261
"SNP_A-2006196",0,0,0,0,0,-0.0153,-0.0249,-0.1281,-0.0309,-0.1176,-0.0117
"SNP_A-1803430",0,0,0,0,0.0904,0,-1e-04,-0.0564,0.001,-0.0978,0.0995
"SNP_A-8356280",0,0,0,-0.0209,0,0,-0.0067,-0.047,-0.0354,-0.0608,0.0454
"SNP_A-8336635",0,0,0,0,0,0.0076,-0.1131,-0.0653,0.0488,-0.123,-0.0554
"SNP_A-4269014",0,0,0,-0.0658,0,0,-0.0576,-0.1051,-0.0576,-0.1643,-0.0214
"SNP_A-8457176",0,0,0,0,0,-0.0902,-0.0428,-0.0195,0.0441,-0.1254,-0.0419
"SNP_A-8715858",0,-0.072,0,0,0,0,0.0729,-0.0201,-0.0763,-0.0966,0.0497
"SNP_A-8644996",0,-0.0371,0,0,0,0,-0.001,-0.0684,-0.0597,-0.1092,0.0172
"SNP_A-2090642",0,-1e-04,0,0,0,0,-0.0072,-0.0562,0.0415,-0.0227,-0.0389
"SNP_A-8677093",0,-0.0112,0,0,0,0,0.1375,-0.1398,-0.0745,-0.0406,0.0169
"SNP_A-8488584",0,0.0267,0,0,0,0,0.0642,-0.0331,-0.0395,-0.1308,0.0097
"SNP_A-8359808",0,0.0103,0,0,0,0,-0.0069,-0.0973,-0.0956,-0.0979,-0.0241
"SNP_A-2084159",0.0203,0,0,0,0,0,0.0763,-0.1032,-0.0258,-0.1554,-0.0118
"SNP_A-2153523",-0.0832,0,0,0,0,0,0.0291,-0.0545,0.066,-0.0528,-0.0544
"SNP_A-2278313",0,0,0,0,-0.0547,0,-0.0558,-0.0733,0.0208,-0.2454,0.0782
"SNP_A-8344223",0,0,0,0,-0.0271,0,0.0426,-0.02,-0.0493,-0.1513,0.044
"SNP_A-8627477",0.0264,0,0,0,0,0,-0.0648,-0.1392,-0.0505,-0.0991,0.0579
