"","main","age","act","trans","ceraf","chol","age","act","trans","ceraf","chol"
"SNP_A-2293698",0,0,0,0,-0.2628,0,-0.1582,-0.7425,0.2805,-0.4155,0.5524
"SNP_A-8550341",0,0,0,0,-0.2795,0,-0.1598,-0.7445,0.2873,-0.4148,0.5548
"SNP_A-8408552",0,0,0,0.2649,0,0,-0.1379,-0.7517,0.279,-0.4024,0.558
"SNP_A-8288037",0,0,0,0.2494,0,0,-0.1403,-0.7301,0.2575,-0.3935,0.5677
"SNP_A-8484507",0,0,0,0.2511,0,0,-0.1427,-0.7222,0.2973,-0.3903,0.5515
"SNP_A-8557619",0,0,0,0.2527,0,0,-0.1143,-0.7435,0.2883,-0.4091,0.5426
"SNP_A-1918155",0,0,0,0.2764,0,0,-0.1247,-0.736,0.2959,-0.402,0.5479
"SNP_A-2245382",0,0,0,0.2789,0,0,-0.1382,-0.7371,0.2711,-0.4003,0.552
"SNP_A-1934867",0,0,0,0.2647,0,0,-0.135,-0.7293,0.296,-0.3924,0.5771
"SNP_A-1813352",0,0,0,0.2492,0,0,-0.1476,-0.7337,0.2769,-0.3874,0.5669
"SNP_A-4247893",0.3311,0,0,0,0,0,-0.1366,-0.7439,0.276,-0.3785,0.559
"SNP_A-1900537",0.3158,0,0,0,0,0,-0.1446,-0.7469,0.2884,-0.3791,0.5701
"SNP_A-2090742",0.3388,0,0,0,0,0,-0.1507,-0.7434,0.275,-0.3904,0.5639
"SNP_A-2026527",0.3322,0,0,0,0,0,-0.1622,-0.7355,0.2765,-0.3951,0.559
"SNP_A-4252275",0.3301,0,0,0,0,0,-0.1463,-0.7531,0.2954,-0.3864,0.5587
"SNP_A-4268688",0.3244,0,0,0,0,0,-0.142,-0.7299,0.2854,-0.3907,0.5591
"SNP_A-2053089",0.3341,0,0,0,0,0,-0.1534,-0.7572,0.2855,-0.3745,0.5675
"SNP_A-4302770",0,0,0,0.244,0,0,-0.1221,-0.7449,0.2975,-0.3832,0.5433
"SNP_A-1902044",0,0,0,0.2695,0,0,-0.1581,-0.7402,0.2909,-0.3924,0.5463
"SNP_A-1791661",0,0,0,0.2695,0,0,-0.1566,-0.7367,0.2807,-0.4037,0.5542
"SNP_A-4292387",0,0,0,0.2511,0,0,-0.1406,-0.7383,0.2799,-0.3766,0.5492
"SNP_A-2305721",0,0,0,0.2765,0,0,-0.1448,-0.7367,0.285,-0.3943,0.5609
"SNP_A-4206842",0.3866,0,0,0,0,0,-0.149,-0.7468,0.2974,-0.3931,0.5528
"SNP_A-2194963",0,0,0,0.3135,0,0,-0.1403,-0.718,0.2877,-0.3994,0.5562
"SNP_A-8320058",0,0,0,0.2756,0,0,-0.1329,-0.7372,0.2852,-0.4118,0.5478
"SNP_A-1952851",0,0,0,0,0,0.269,-0.1662,-0.7374,0.2758,-0.3938,0.5929
"SNP_A-8307784",0,0,0,0,0,0.2808,-0.1341,-0.7429,0.2971,-0.4074,0.5535
"SNP_A-2285412",0,0,0,0.2579,0,0,-0.1485,-0.7413,0.282,-0.3995,0.5713
"SNP_A-2138794",0,0,0,0.2469,0,0,-0.1406,-0.7407,0.2902,-0.4071,0.5724
"SNP_A-4300858",0,0,0,0.2559,0,0,-0.1473,-0.7406,0.2784,-0.3806,0.5599
"SNP_A-8443014",0,0,0,0,0,0.2487,-0.1308,-0.7248,0.2755,-0.3989,0.5771
"SNP_A-1851517",0,0,0,0.2698,0,0,-0.1414,-0.7328,0.2828,-0.4049,0.5659
"SNP_A-2252463",0.2339,0,0,0,0,0,-0.137,-0.7568,0.2852,-0.4035,0.5604
"SNP_A-2136502",0,-0.2494,0,0,0,0,-0.1476,-0.7399,0.2716,-0.3983,0.5467
"SNP_A-4300147",0,-0.2635,0,0,0,0,-0.1408,-0.7574,0.2691,-0.402,0.5434
"SNP_A-1859442",0,-0.2482,0,0,0,0,-0.1412,-0.7367,0.2873,-0.4037,0.5558
"SNP_A-1864267",0,-0.2568,0,0,0,0,-0.1569,-0.7518,0.3063,-0.3908,0.5449
