"","main","age","act","trans","ceraf","chol","age","act","trans","ceraf","chol"
"SNP_A-8288274",0,0,0,0,0,0.0048,-0.0109,-0.0521,-0.0657,-0.1529,-0.2337
"SNP_A-1907823",0,0,0,0,0,-0.005,0.0425,0.0225,0.0996,-0.1538,-0.0843
"SNP_A-8433975",0,0,0,0,0,-0.0974,-0.0525,-0.0631,0.077,-0.1696,0.0065
"SNP_A-4268381",0,0,0,0,0,-0.0882,0.0091,-0.1506,-0.0072,-0.0709,-0.0277
"SNP_A-2002361",0,0,0,0,0,-0.0959,0.0099,-0.0465,-8e-04,-0.073,0.017
"SNP_A-8398543",0,-0.0226,0,0,0,0,0.0042,-0.024,0.0501,-0.112,-0.0019
"SNP_A-2254426",0.0226,0,0,0,0,0,-0.0786,-0.1663,-0.0591,-0.2063,0.0256
"SNP_A-2183474",-0.012,0,0,0,0,0,-0.0961,-0.0487,-0.0842,-0.0742,-0.0021
"SNP_A-4194948",0,0,0,0,-0.0294,0,-0.0443,-0.1023,-0.0381,-0.1513,0.0117
"SNP_A-2167849",0,0,0,-0.1193,0,0,-0.0057,-0.0245,0.0428,-0.1111,-0.0104
"SNP_A-4268414",0,0.0157,0,0,0,0,0.1059,-0.0014,0.0204,-0.0479,0.0554
"SNP_A-2002540",0,-0.02,0,0,0,0,0.0062,-0.104,0.0682,-0.079,0.0294
"SNP_A-2104929",-0.0679,0,0,0,0,0,-0.0692,-0.003,-0.0244,-0.0256,-0.1081
"SNP_A-2261751",0.0334,0,0,0,0,0,-0.1186,-0.0057,-0.0418,-0.0563,0.0454
"SNP_A-2065831",-0.0478,0,0,0,0,0,0.0777,-0.0521,0.0417,-0.1177,-0.0353
"SNP_A-4195921",0.0245,0,0,0,0,0,0.0122,-0.016,-0.0059,-0.0429,0.0042
"SNP_A-2136502",0,-0.0656,0,0,0,0,0.0063,-0.0354,0.0175,-0.0467,-0.035
"SNP_A-4300147",0,-0.0297,0,0,0,0,0.0425,-0.0329,-0.006,-0.1884,-0.026
"SNP_A-1859442",0,2e-04,0,0,0,0,0.0956,-0.0189,0.0349,-0.1076,-0.0205
"SNP_A-1864267",0,0.0381,0,0,0,0,0.0279,-0.1143,-0.0343,-0.0781,0.0124
"SNP_A-8443603",0,-0.0777,0,0,0,0,0.016,-0.1001,-0.0308,-0.0378,-0.0132
"SNP_A-8291314",0,0,0,-0.0343,0,0,-0.0032,-0.0623,-0.0494,-0.1398,0.0199
"SNP_A-8367452",0,0,0,0,0,-0.0469,-0.0625,0.0076,0.017,-0.0473,0.0159
"SNP_A-8292919",0,0,0,-0.0024,0,0,0.0274,-0.0638,0.0236,-0.124,0.0289
