"","main","age","act","trans","ceraf","chol","age","act","trans","ceraf","chol"
"SNP_A-8332071",0,0.0201,0,0,0,0,0.0207,-0.0667,0.0513,-0.1135,0.0101
"SNP_A-8590831",0.0284,0,0,0,0,0,-0.1286,-0.0793,-0.004,-0.1,-0.0801
"SNP_A-8287358",-0.0396,0,0,0,0,0,0.0321,-0.0612,0.0555,-0.0468,0.0077
"SNP_A-2067803",-0.0683,0,0,0,0,0,0.0248,-0.0062,0.0366,-0.0777,-0.0218
"SNP_A-8425207",0.0177,0,0,0,0,0,-0.0307,-0.062,-0.0328,-0.1067,0.0503
"SNP_A-8393049",0.0933,0,0,0,0,0,-0.0519,-0.0378,0.0475,-0.0965,-0.0487
"SNP_A-8288274",-0.0292,0,0,0,0,0.0073,-0.0146,0.0175,0.0868,-0.1078,0.001
"SNP_A-1888189",0.0035,0,0,0,0,0,0.0772,-0.1223,-0.0114,-0.0956,-0.0379
"SNP_A-1907823",0,0,0,0,0,0.1051,-0.0256,-0.0239,0.0149,-0.0559,0.0398
"SNP_A-8433975",0,0,0,0,0,0.0128,0.0059,-0.0739,6e-04,-0.1285,-0.0833
"SNP_A-4268381",0,0,0,0,0,-0.0572,0.0163,-0.0496,0.0364,-0.1008,-0.0312
"SNP_A-2002361",0,0,0,0,0,-0.0226,-0.0157,-0.0577,0.0063,-0.1021,-0.0344
"SNP_A-8469169",-0.0453,0,0,0,0,0,-0.0232,-0.0974,0.0247,-0.1985,-0.1109
"SNP_A-8398543",0,-0.0081,0,0,0,0,-0.018,-0.0175,-0.0694,-0.1414,3e-04
"SNP_A-2254426",-5e-04,0,0,0,0,0,0.1007,-0.1972,-0.0652,-0.2571,-0.0382
"SNP_A-2183474",0.0092,0,0,0,0,0,0.008,-0.0428,0.1385,-0.0512,-0.017
"SNP_A-4194948",0,0,0,0,0.0136,0,-0.124,-0.1092,0.0582,-0.0557,-0.0319
"SNP_A-2167849",0,0,0,-0.1482,0,0,-0.0859,-0.0308,-0.0467,-0.1254,-0.0074
"SNP_A-4268414",0,0.0106,0,0,0,0,-0.0401,-0.0709,-0.0197,-0.0831,-0.0687
"SNP_A-2002540",0,0.0272,0,0,0,0,0.0338,-0.1599,0.0793,-0.1037,0.0029
"SNP_A-2065831",-0.0225,0,0,0,0,0,-0.1326,-0.0632,0.0306,-0.1336,-0.0843
"SNP_A-4195921",0.0384,0,0,0,0,0,-0.0064,-0.0542,0.0243,0.0154,0.0219
"SNP_A-2036325",0,0,0,-0.0478,0,0,0.0463,-0.1933,-0.1338,-0.1249,-0.0305
"SNP_A-2136502",0,0.0281,0,0,0,0,0.159,-0.0385,0.0479,-0.0038,0.0303
"SNP_A-4300147",0,0.0892,0,0,0,0,0.0134,-0.1146,-0.0508,-0.0718,0.0416
"SNP_A-1859442",0,0.0204,0,0,0,0,0.04,-0.0176,0.0089,-0.0328,0.0417
"SNP_A-1864267",0,-9e-04,0,0,0,0,0.0467,-0.0799,-0.0259,-0.1534,0.0501
"SNP_A-8443603",0,-0.0045,0,0,0,0,0.0025,-0.0402,0.0185,-0.0944,-0.1062
"SNP_A-2294660",0.0321,0,0,0,0,0,-0.0029,-0.0584,0.0881,-0.1014,-0.0811
"SNP_A-8291314",0,0,0,-0.0625,0,0,-0.1205,-0.0727,0.0042,-0.1013,0.0333
"SNP_A-2002897",0,0,0,-0.0014,0,0,-0.0732,-0.106,-0.0429,-0.1331,-0.0747
"SNP_A-8367452",0,0,0,0,0,0.0025,0.0225,-0.1545,0.0769,-0.1189,0.0189
"SNP_A-2097058",0,0,0,0,0,0.0347,-0.0831,-0.1645,0.0543,-0.1173,-0.0555
"SNP_A-1802835",0,-0.0523,0,0,0,0,0.0845,-0.0429,0.0441,-0.1062,0.055
"SNP_A-1815878",0,0.0683,0,0,0,0,-0.0081,-0.033,-0.0792,-0.1471,-0.0367
"SNP_A-4268666",0,0.069,0,0,0,0,-0.0331,-0.0369,-0.0551,-0.0632,0.0152
"SNP_A-8711582",0,-0.0813,0,0,0,0,-0.0425,-0.1504,0.0915,-0.1458,-0.2039
"SNP_A-8655239",0,-0.0274,0,0,0,0,-0.0563,-0.1581,0.098,-0.1672,-0.0079
"SNP_A-2277059",0,-0.0193,0,0,0,0,0.0313,0.0236,0.022,-0.0951,-0.029
"SNP_A-4218879",0,0.0297,0,0,0,0,0.0745,-0.0599,0.0885,-0.0973,-0.1624
"SNP_A-4289744",0,-0.0333,0,0,0,0,0.0468,-0.0395,-0.0195,-0.1619,0.0062
"SNP_A-2288770",0,-0.0339,0,0,0,0,0.0228,-0.1178,-0.0762,-0.123,0.0046
"SNP_A-2091685",0,0.0721,0,0,0,0,-0.0074,-0.0163,0.0167,-0.2221,0.0298
"SNP_A-4198754",0,0,-0.0142,0,0,0,-0.0755,-0.0628,0.0606,-0.1079,0.0429
"SNP_A-8599668",0,0,0,0,-0.0037,0,6e-04,-0.1034,-0.0918,-0.1237,-0.0537
"SNP_A-8552162",-0.0545,0,0,0,0,0,0.0556,0.0136,-0.0595,-0.1541,0.0267
"SNP_A-1830949",0,0,0.029,0,0,0,0.0564,-0.1763,-0.0325,-0.0606,0.0023
"SNP_A-1878110",-0.0401,0,0,0,0,0,-0.0361,-0.0647,-0.014,-0.1475,0.0431
"SNP_A-8611800",-0.1072,0,0,0,0,0,0.0571,-0.0621,0.0588,-0.0727,-0.063
"SNP_A-2005327",0,0,0,-0.0529,0,0,0.0267,0.0175,-0.0036,-0.0716,-0.0233
"SNP_A-2197044",0,0,0,-0.0341,0,0,-0.0378,-0.027,0.0232,-0.0926,-0.0637
"SNP_A-1851635",0,0,0,0.0335,0,0,-0.0344,-0.0898,0.0079,-0.1197,-0.0477
"SNP_A-2157590",0,0,0,-0.0449,0,0,0.0534,-0.0425,-0.0291,-0.0625,0.0392
"SNP_A-4289179",0,0,0,0.0015,0,0,-0.0178,-0.0542,0.0185,-0.0669,-0.0892
"SNP_A-2302473",0,0,0,-0.0618,0,0,0.0616,-0.1188,0.0291,0.0022,0.0027
"SNP_A-2107591",0,0,0,-0.0229,0,0,-4e-04,0.0162,-0.0194,-0.0013,0.0307
"SNP_A-2005330",0,0,0,-0.0116,0,0,-0.0197,-0.0166,0.0865,-0.0709,0.0025
"SNP_A-2111200",0,0,0,-0.0109,0,0,-0.0147,-0.0946,0.0759,-0.0935,0.07
"SNP_A-1920997",0,0,0,0.0195,0,0,0.0848,-0.1574,0.0451,-0.1248,-0.0964
"SNP_A-4204272",0,0,0,0.023,0,0,0.0027,0.0115,0.0014,-0.0564,-0.019
"SNP_A-8646971",0,0,0,-0.0476,0,0,-0.0588,-0.0302,0.0074,-0.0273,0.0109
"SNP_A-1820379",0,0,0,-0.0107,0,0,0.001,-0.0542,-0.0251,-0.0316,-0.0583
"SNP_A-2222072",-0.011,0,0,0,0,0,0.1329,-0.0392,0.0333,-0.2094,-0.0699
"SNP_A-4268845",-0.0723,0,0,0,0,0,-0.0398,-0.1233,-0.0636,-0.1755,0.0186
"SNP_A-8706646",0,0.0706,0,0,0,0,-0.0251,-0.0086,-0.0079,-0.0961,0.0473
"SNP_A-4206842",0.044,0,0,0,0,0,-0.0058,-0.1517,0.0818,-0.1443,0.0627
"SNP_A-4234304",0.1585,0,0,0,0,0,0.1073,-0.0314,-0.0615,-0.1482,0.0489
"SNP_A-8367373",0,0,0,-0.0119,0,0,0.0019,-0.0093,-0.0025,-0.1555,-0.0072
"SNP_A-8388726",0,0,0,0.0062,0,0,0.0342,-0.0748,-0.0494,-0.1874,-0.0347
"SNP_A-8614789",0,0,0,0,0,-0.0637,-0.0669,-0.0414,-0.0128,-0.1292,0.0642
"SNP_A-8520307",0,0,0,0,0,-0.0259,0.0248,0.0207,-0.0362,-0.1026,-0.0302
"SNP_A-2001475",0,0,0,0,0,-0.0226,0.0115,-0.1757,-0.0666,-0.1342,-0.0899
"SNP_A-8310678",0,0,0,0,0,-0.0066,0.0755,0.0323,-0.0109,-0.0295,-0.0219
"SNP_A-1864072",0,0,0,0,0,0.0584,0.0306,-0.1283,-0.0035,-0.0877,-0.0836
"SNP_A-2274972",0,0,0,0,0,-0.1353,-0.067,-0.1074,-0.0096,-0.1258,-0.0307
"SNP_A-2005802",0,0,0,0,0,0.0193,-0.0123,-0.1083,-0.0765,-0.0926,-0.0474
"SNP_A-2165321",0,0,0,0,0,0.0595,0.0325,-0.1249,-0.0102,-0.1158,-0.104
"SNP_A-2236256",0,0,0,0,-0.039,0,0.1205,-0.0679,-0.0052,-0.1448,0.0512
"SNP_A-1817628",-0.0303,0,0,0,0,0,-0.0125,-0.1422,-0.0456,-0.0515,-0.0442
"SNP_A-4222848",-0.126,0,0,0,0,0,0.0384,-0.1477,0.0414,-0.2069,-0.0217
"SNP_A-1798337",0,0,0,0,0,0.0383,0.0186,-0.1393,0.023,-0.0373,0.0426
"SNP_A-1899395",0.0303,0,0,0,0,0,-0.0645,-0.0257,-0.0075,-0.0847,-0.052
"SNP_A-2181744",-0.0308,0,0,0,0,0,-0.0495,-0.0129,-0.0299,-0.1524,-0.067
"SNP_A-1839723",0.0428,0,-0.0446,0,0,0,0.0558,-0.0895,0.0328,-0.0686,0.0562
"SNP_A-2001504",-0.0398,0,0,0,0,0,-0.1059,-0.0482,0.0787,-0.1961,0.0132
"SNP_A-8654745",-0.1038,0,0,0,0,0,0.0179,-0.1206,-0.0086,-0.1408,-0.0526
"SNP_A-2151281",-0.027,0,0,0,0,0,0.0683,-0.0303,-0.0173,-0.0343,0.025
"SNP_A-2006196",0,0,0,0,0,0.0163,-0.0079,-0.1337,-0.061,-0.0401,-0.0279
"SNP_A-1803430",0,0,0,0,0.0788,0,-0.11,-0.1062,0.0042,-0.1648,0.006
"SNP_A-4269014",0,0,0,-0.1234,0,0,-0.0066,-0.0248,0.0277,-0.0918,0.0457
