"","gene_name","rsID","main","age","act","trans","ceraf","chol","age.1","act.1","trans.1","ceraf.1","chol.1"
"1","RP11-526P5.2","rs7922626",0.2527,0,0,0,0,0,-0.1554,-0.7342,0.2771,-0.4094,0.5598
"2","RP11-526P5.2","rs11599371",0.2625,0,0,0,0,0,-0.154,-0.7364,0.2921,-0.409,0.5767
"3","RP11-478B11.2","rs11005073",0.24,0,0,0,0,0,-0.1404,-0.7429,0.281,-0.4022,0.5439
"4","KRT8P37","rs2646392",0.2673,0,0,0,0,0,-0.1381,-0.7475,0.2672,-0.4101,0.5722
"5","FAM107B","rs4750551",-0.2794,0,0,0,0,0,-0.1445,-0.728,0.2871,-0.3735,0.5574
"6","RP11-478B11.2","rs11005085",0.2356,0,0,0,0,0,-0.1336,-0.7262,0.2871,-0.3836,0.5467
"7","FRMD4A","rs1993742",0.2531,0,0,0,0,0,-0.1468,-0.7327,0.3012,-0.3928,0.5487
"8","PRKCQ-AS1","rs10904620",0.2707,0,0,0,0,0,-0.1402,-0.72,0.2796,-0.39,0.5512
"9","FAM107B","rs8181403",0.2787,0,0,0,0,0,-0.1547,-0.7394,0.2864,-0.4,0.5388
"10","RP11-554I8.1","rs11253683",0.2302,0,0,0,0,0,-0.1564,-0.7415,0.2795,-0.3832,0.5777
"11","RP11-526P5.2","rs11593350",0.2604,0,0,0,0,0,-0.1548,-0.7325,0.2808,-0.4002,0.554
"12","RNMTL1P1","rs10828243",0.262,0,0,0,0,0,-0.1313,-0.7403,0.2784,-0.388,0.5636
"13","RP11-526P5.2","rs1537615",0.3834,0,0,0,0,0,-0.1566,-0.7237,0.282,-0.4126,0.5562
"14","KRT8P37","rs2765398",0.2714,0,0,0,0,0,-0.1551,-0.7595,0.2736,-0.3998,0.5396
"15","RNU6-1075P","rs2991895",0.2588,0,0,0,0,0,-0.1489,-0.7476,0.2873,-0.3804,0.5488
"16","MLLT10","rs6482191",0.2222,0,0,0,0,0,-0.1405,-0.7321,0.3001,-0.3798,0.5522
"17","KRT8P37","rs4747800",0.2789,0,0,0,0,0,-0.1345,-0.7339,0.2657,-0.4072,0.5473
"18","RP11-526P5.2","rs7093433",0.2559,0,0,0,0,0,-0.1422,-0.753,0.2846,-0.3949,0.559
"19","FAM107B","rs17256906",-0.2759,0,0,0,0,0,-0.1403,-0.7436,0.2635,-0.3977,0.5448
"20","FAM107B","rs4750552",0.2296,0,0,0,0,0,-0.1483,-0.7422,0.2953,-0.3915,0.556
"21","RP11-554I8.1","rs7904217",-0.2621,0,0,0,0,0,-0.1611,-0.7497,0.2635,-0.4008,0.5601
"22","ITGA8","rs10904617",-0.2273,0,0,0,0,0,-0.1567,-0.7413,0.2716,-0.3881,0.5574
"23","PLXDC2","rs4997680",0.2118,0,0,0,0,0,-0.1494,-0.7628,0.2947,-0.3632,0.5572
"24","RP11-478B11.2","rs11005091",0.2615,0,0,0,0,0,-0.142,-0.7368,0.2815,-0.3927,0.5522
"25","FAM107B","rs7922034",-0.306,0,0,0,0,0,-0.1448,-0.7329,0.3012,-0.3922,0.554
"26","KIAA1217","rs10828584",0.2575,0,0,0,0,0,-0.1265,-0.7461,0.2875,-0.3904,0.54
"27","snoU13","rs2137157",-0.2605,0,0,0,0,0,-0.1387,-0.7382,0.2826,-0.4073,0.5549
"28","RP11-554I8.1","rs11253854",0.2533,0,0,0,0,0,-0.1462,-0.739,0.273,-0.3977,0.5626
"29","RP11-526P5.2","rs1537616",0.3847,0,0,0,0,0,-0.1506,-0.7377,0.2946,-0.3998,0.5527
"30","RP11-478B11.2","rs11005102",0.2539,0,0,0,0,0,-0.1497,-0.7394,0.2839,-0.3932,0.5692
"31","FRMD4A","rs873849",-0.239,0,0,0,0,0,-0.1533,-0.745,0.2776,-0.3951,0.5633
"32","SNRPEP8","rs7093161",0,0.2908,0,0,0,0,-0.1377,-0.7354,0.2858,-0.3877,0.5645
"33","PRKCQ-AS1","rs4748198",0.2714,0,0,0,0,0,-0.1481,-0.7346,0.2805,-0.3899,0.5694
"34","PDSS1","rs10764638",0.2513,0,0,0,0,0,-0.1382,-0.7383,0.2846,-0.3726,0.5398
"35","DCLRE1CP1","rs41405548",0.3335,0,0,0,0,0,-0.1657,-0.7402,0.299,-0.387,0.5476
"36","RP11-482E14.2","rs17226417",0.2771,0,0,0,0,0,-0.1472,-0.7451,0.2802,-0.3845,0.5551
"37","ST8SIA6","rs6602203",-0.2396,0,0,0,0,0,-0.1491,-0.739,0.2772,-0.3835,0.5558
"38","RP11-7C6.1","rs7922151",0.2637,0,0,0,0,0,-0.1561,-0.7403,0.2763,-0.3751,0.5507
"39","FAM107B","rs7922151",0.2637,0,0,0,0,0,-0.1561,-0.7403,0.2763,-0.3751,0.5507
"40","RP11-526P5.2","rs7922357",0.2541,0,0,0,0,0,-0.1439,-0.7484,0.2813,-0.4107,0.5542
"41","LINC00709","rs9804388",-0.2409,0,0,0,0,0,-0.152,-0.7387,0.2776,-0.4004,0.547
"42","RP11-478B11.2","rs4372368",0.2324,0,0,0,0,0,-0.1478,-0.7429,0.2885,-0.3882,0.547
"43","FRMD4A","rs942935",0.2601,0,0,0,0,0,-0.1421,-0.7422,0.2804,-0.3995,0.5559
"44","FRMD4A","rs2446588",0,0.35,0,0,0,0,-0.1538,-0.7414,0.2998,-0.3939,0.5519
"45","PRKCQ","rs7083579",0.2408,0,0,0,0,0,-0.1435,-0.7338,0.2933,-0.4126,0.5457
"46","PRKCQ-AS1","rs10904615",0.2673,0,0,0,0,0,-0.1304,-0.7358,0.2864,-0.3806,0.5529
"47","FAM107B","rs1031666",-0.3131,0,0,0,0,0,-0.1443,-0.7477,0.2736,-0.3971,0.5677
"48","RP11-526P5.2","rs17158961",0.2566,0,0,0,0,0,-0.152,-0.7501,0.276,-0.3942,0.5524
"49","RP11-799O21.2","rs946788",0.2457,0,0,0,0,0,-0.1491,-0.7236,0.2776,-0.4017,0.5693
"50","RP11-461K13.1","rs10508507",0.2157,0,0,0,0,0,-0.1523,-0.7544,0.2721,-0.3735,0.5585
"51","FRMD4A","rs998150",-0.3187,0,0,0,0,0,-0.1509,-0.7385,0.285,-0.3904,0.5685
"52","DIP2C","rs3922851",0.2764,0,0,0,0,0,-0.158,-0.7235,0.2763,-0.3835,0.5708
"53","CAMK1D","rs7921813",0,0.3291,0,0,0,0,-0.1475,-0.7435,0.267,-0.4065,0.5575
"54","FAM107B","rs9664230",0.2365,0,0,0,0,0,-0.1435,-0.7397,0.2706,-0.396,0.5652
