"","gene_name","rsID","main","age","act","trans","ceraf","chol","age.1","act.1","trans.1","ceraf.1","chol.1"
"1","WDFY4","rs17011106",-0.0079,0,0,0,0,0,-0.0286,-0.0675,-0.0472,-0.0979,-0.0553
"2","WDFY4","rs17011106",-0.0079,0,0,0,0,0,-0.0286,-0.0675,-0.0472,-0.0979,-0.0553
"3","ARHGAP22","rs11101370",0,0,0,-0.1024,0,0,-0.0574,-0.0261,-0.0459,-0.0911,-0.051
"4","RP11-526P5.2","rs7922626",-0.0681,0,0,0,0,0,0.0265,-0.0192,-0.0481,-0.094,0.0077
"5","RP11-526P5.2","rs11599371",0.006,0,0,0,0,0,-0.0354,-0.0799,0.0369,-0.1239,-0.0557
"6","IL2RA","rs2104286",0,0,0,0,0,-0.0185,-0.0269,-0.0652,-0.0471,-0.0027,-0.0507
"7","RP11-170M17.1","rs1916408",0,0,0,-0.0103,0,0,-0.054,-0.0783,-0.0327,-0.1693,0.0459
"8","RP11-492M23.2","rs2796323",0,-0.0165,0,0,0,0,0.0735,-0.056,-0.0137,-0.0834,-0.0541
"9","KRT8P37","rs2646392",0.0707,0,0,0,0,0,0.0653,-0.1524,-0.0132,-0.0384,0.0161
"10","RP11-526P5.2","rs11593350",-0.0451,0,0,0,0,0,-0.0102,-0.0461,0.0967,-0.104,0.0041
"11","DRGX","rs10857482",0,0,0,0,0,0.0869,-0.0294,0.0026,-0.0036,-0.1407,0.0465
"12","RP11-170M17.1","rs1916458",0,0,0,-0.0446,0,0,-0.0493,-0.0462,-0.0797,-0.0707,-0.006
"13","RP11-526P5.2","rs1537615",0.0182,0,0,0,0,0,-0.0918,-0.0124,-0.0469,-0.1239,0.067
"14","LINC00707","rs11254771",0,0,-0.0637,0,0,0,-0.0131,-0.0487,0.0164,-0.0404,0.0068
"15","KRT8P37","rs2765398",0.0921,0,0,0,0,0,-8e-04,-0.1368,-0.0124,-0.2288,0.0488
"16","THNSL1","rs1124017",0,0,0,0,0,0.0341,0.0305,-0.0089,-0.0121,-0.0835,0.0692
"17","CELF2","rs4317891",0,-0.0022,0,0,0,0,-0.1029,-0.0849,-0.037,-0.1265,-0.1116
"18","LINC00845","rs7922793",0.0353,0,0,0,0,0,-0.0386,-0.2209,0.0152,-0.1145,0.0204
"19","CAMK1D","rs11258040",0,0,0,0,-0.1015,0,0.0245,-0.0415,-0.0143,-0.2123,-0.0373
"20","RP11-526P5.2","rs7093433",-0.0137,0,0,0,0,0,-0.0277,-0.0019,0.0301,-0.0778,-0.0539
"21","RP11-319F12.2","rs1984275",0,0,0,0,-0.0923,0,0.1291,-0.0353,0.0334,-0.2516,-0.0173
"22","RP11-490O24.2","rs224765",0,-0.1447,0,0,0,0,-0.0075,-0.0538,0.0333,-0.1351,-0.017
"23","RP11-170M17.1","rs10822247",0,0,0,0.0318,0,0,0.015,-0.0386,0.0189,-0.0729,0.0647
"24","EGR2","rs10822088",0,0.0123,0,0,0,0,0.1164,0.002,-0.0291,-0.0362,0.0945
"25","KIAA1217","rs11014072",0,0,0,0,0,0.0409,0.0107,-0.0249,-0.0233,-0.0351,-0.129
"26","ECHDC3","rs11257323",0,0,0,0,0,-0.0352,-0.04,-0.068,-0.0085,-0.0866,-0.0749
"27","RP11-170M17.1","rs1916407",0,0,0,-0.0659,0,0,0.0273,0.0283,-0.0239,-0.0889,0.131
"28","RP11-170M17.1","rs1916407",0,0,0,-0.0659,0,0,0.0273,0.0283,-0.0239,-0.0889,0.131
"29","KIAA1217","rs7070056",0,0,0,0,0,0.026,-0.0259,-0.0794,-0.0061,-0.0081,-0.0214
"30","ANK3","rs10994364",0,0.0328,0,0,0,0,0.0348,-0.0322,0.0771,-0.1663,-0.0141
