"","gene_name","rsID","main","age","act","trans","ceraf","chol","age.1","act.1","trans.1","ceraf.1","chol.1"
"1","WDFY4","rs17011106",-0.024,0,0,0,0,0,0.014,-0.1066,-0.0281,-0.0644,-0.0408
"2","WDFY4","rs17011106",-0.024,0,0,0,0,0,0.014,-0.1066,-0.0281,-0.0644,-0.0408
"3","KIAA1217","rs7077294",0,0,0,0,0,-0.0491,0.0785,-0.0826,0.032,-0.0883,-0.0585
"4","RP11-170M17.1","rs7093682",0,0,0,-0.1239,0,0,0.045,-0.1228,-0.0349,-0.0938,0.0235
"5","WDFY4","rs17011106",-0.0953,0,0,0,0,0,-0.0621,-0.0548,-0.0389,-0.176,0.0475
"6","WDFY4","rs17011106",-0.0953,0,0,0,0,0,-0.0621,-0.0548,-0.0389,-0.176,0.0475
"7","MIR3924","rs10826028",0,0,0,0,-0.0524,0,-0.0595,-0.0752,0.0299,-0.2586,-0.0231
"8","THNSL1","rs4748996",0,0,0,0,0,0.0064,-0.0957,-0.0138,0.0353,-0.0919,-0.0552
"9","KRT8P37","rs2646392",0.0148,0,0,0,0,0,-0.1142,-0.0455,-0.0175,-0.0988,-0.0425
"10","RP11-170M17.1","rs7904629",0,0,0,-0.0592,0,0,-0.0785,-0.0596,0.0071,-0.1708,0.0133
"11","ATP5C1","rs1244416",0,0,0,0,0,0.0851,0.0635,-0.137,-0.07,-0.1157,-0.0997
"12","WDFY4","rs4838643",-0.0051,0,0,0,0,0,-0.0443,-0.0367,0.0878,-0.1129,-0.0549
"13","RP11-170M17.1","rs1916458",0,0,0,-0.0264,0,0,-0.0277,-0.0839,-0.0617,-0.0113,-0.0295
"14","RP11-526P5.2","rs1537615",0.0477,0,0,0,0,0,0.0017,0.0423,0.0259,-0.0926,-0.0158
"15","KRT8P37","rs2765398",-0.0157,0,0,0,0,0,-0.0243,-0.0703,-0.0682,-0.066,0.029
"16","CELF2","rs4317891",0,0.0647,0,0,0,0,0.0197,-0.0934,-0.0073,-0.0955,-0.0491
"17","LINC00845","rs7922793",-0.0345,0,0,0,0,0,0.077,-0.0993,0.0112,-0.1359,0.1176
"18","RP11-170M17.1","rs1916412",0,0,0,-0.0614,0,0,0.0861,-0.0541,-0.0474,-0.0292,-0.0103
"19","RP11-170M17.1","rs1916411",0,0,0,-0.0448,0,0,0.1039,-0.0195,0.0314,-0.0987,-0.0421
"20","KRT8P37","rs4747800",0.0036,0,0,0,0,0,-0.042,-0.0455,-0.0107,-0.1283,-0.1857
"21","CAMK1D","rs11258040",0,0,0,0,-0.0983,0,0.0875,-0.0524,-0.0196,-0.192,-0.0354
"22","RP11-319F12.2","rs1984275",0,0,0,0,0.0065,0,0.028,-0.0423,0.0372,-0.2023,0.0618
"23","MIR5100","rs17432763",0,0,0,0,0,-0.0677,-0.0589,-0.0289,-0.0214,-0.0168,0.0143
"24","FRMD4A","rs10796113",-0.0931,0,0,0,0,0,0.0344,-0.0841,0.0501,-0.0879,0.0051
"25","RP11-490O24.2","rs224765",0,-0.0521,0,0,0,0,-0.0788,-0.0041,-0.0382,-0.2279,-0.0306
"26","KIAA1217","rs6482387",0,0,0,0,0,0.011,5e-04,-0.0751,0.066,0.0032,0.0194
"27","ENKUR","rs1492608",0,0,0,0,0,-0.0287,-1e-04,-0.005,0.019,-0.0826,-0.0564
"28","ECHDC3","rs11257323",0,0,0,0,0,0.0084,-0.0506,-0.11,-8e-04,-0.1043,-0.0194
"29","KIAA1217","rs4434904",0,0,0,0,0,-0.0374,-0.0789,-0.112,-0.012,-0.1055,0.0221
"30","ANK3","rs10994364",0,0.1086,0,0,0,0,1e-04,-0.1359,-0.0044,-0.1473,-0.0297
"31","KIAA1462","rs12220246",0,0,0,0.0371,0,0,0.0236,-0.2125,-0.1652,-0.2268,-0.007
"32","RP11-309N24.1","rs11010390",0,0.0271,0,0,0,0,0.007,-0.0326,0.0019,-0.1401,-0.0454
"33","KIAA1217","rs10828584",0.087,0,0,0,0,0,-0.05,-0.1545,0.0212,-0.1328,-0.1768
"34","ARHGAP22","rs10857590",0,0,0,-0.1379,0,0,-0.0637,-0.0193,-0.0238,-0.0538,0.0589
"35","RP11-526P5.2","rs1537616",0.086,0,0,0,0,0,0.0607,-0.01,0.0055,-0.0217,-0.0664
"36","KIAA1462","rs17295031",0,0,0,-0.0468,0,0,0.0695,-0.0507,0.0405,-0.1047,-0.0401
"37","RP11-271F18.4","rs10905778",0,0,0,0,0,0.0055,0.0317,-0.1149,0.066,-0.0485,-0.0377
"38","SNRPEP8","rs7093161",0,-0.0577,0,0,0,0.0107,-0.0175,-0.0433,-0.0292,-0.1232,-9e-04
"39","CHAT","rs2377872",0,0,0,0,-0.0213,0,-0.0877,-0.1086,-0.0074,-0.1174,-0.0341
"40","RP11-170M17.1","rs1916409",0,0,0,-0.0642,0,0,-0.0771,-0.0228,-0.043,-0.0787,-0.0051
"41","RP11-170M17.1","rs1916409",0,0,0,-0.0642,0,0,-0.0771,-0.0228,-0.043,-0.0787,-0.0051
"42","MALRD1","rs2245456",0,-0.0042,0,0,0,0,0.0106,-0.1026,0.0375,-0.0421,-4e-04
"43","RP11-478H13.1","rs787116",0,0.0259,0,0,0,0,-0.0017,0.0213,0.0235,-0.1296,0.0344
"44","RP11-492M23.2","rs2817825",0,0.0278,0,0,0,0,0.0307,-0.0607,-0.0724,-0.0751,0.0396
"45","KIN","rs11255338",0,0,0,0,0,-0.0401,0.0715,-0.1104,-0.0044,-0.1105,0.0325
"46","WDFY4","rs17011115",-0.0045,0,0,0,0,0,-0.0347,-0.0696,-0.0587,-0.1236,0.0162
"47","Y_RNA","rs11010821",-0.025,0,0,0,0,0,-0.0778,-0.0104,-0.0355,-0.0523,-0.0948
"48","RP11-492M23.2","rs2532760",0,0.0272,0,0,0,0,0.1219,-0.0651,0.0444,-0.0869,-0.0022
"49","ANK3","rs10821773",0,-0.0107,0,0,0,0,0.0637,0.0298,-0.0379,-0.083,0.0557
"50","CELF2","rs17454012",0,-0.1076,0,0,0,0,-0.0219,-0.1525,0.0517,-0.0351,-0.0177
