"","main","clark","stage","age","gender"
"EBF2",-0.009,0,0,0,0
"KCTD16",-0.0466,0,0,0,0
"OR11A1",0.0226,0,0,0,0
"RSU1P2",-0.0245,0,0,0,0
"AVP",-0.1371,0,0,0,0
"TTC28-AS1",-0.0011,0,0,0,0
"LOC105379569",0.1508,0.1925,0,0,0
"MTE",0.0269,0.881,0,0,0
"CNTN2",-0.003,0,0,0,0
"GPR12",1e-04,0,0,0,0
"PTH",0,0.206,0,0,0
"CLDN16",0.0089,0,0,0,0
"KCNA6",-6e-04,0,0,0,0
"TDRG1",0.0749,0.0244,0,0,-0.0464
"VMCM",-0.0011,0,0,0,0
"KIAA0960",-8e-04,0,0,0,0
"OR2T12",-0.015,0,0,0,0
"OR51A7",-0.4159,0,0,0,0
"LINC00483",0,0,0,-0.5188,0
"KBF2",-7e-04,0,0,0,0
"GABRD",-0.0018,0,0,0,0
"ELAVL4",-0.0029,0,0,0.0017,0
"LOC100240735",-0.0259,0,0,0,0
"KLRC4",-0.003,0,0,0,0
"MEOX1",2e-04,0,6e-04,0,0
"OR8I2",0,0.4172,0,0,0
"GH1",-0.0273,0,-0.0077,0,0
"STAMBPL1",-8e-04,0,0,0,0
"OR10C2",-0.2617,0,0,0,0
"PRO2543",0.0027,0,0,0,0
"KCNK10",0.0078,0,0,0,0
"CRYAA",-0.014,0,0,0,-0.0201
"C9orf101",-0.0012,0,0,0,0
"H2A",-0.0036,0.0093,-0.0031,0,-0.006
"LOC116000",-0.0142,0,0,0,0
"UPK2",0.0055,0.0125,0,0,0
"CNKSR2",-0.0031,0,0,0,0
"SMC3",-2e-04,0,0,0,0
"RYBP",-2e-04,0,0,0,0
"SLC24A3",9e-04,0,0,0,0
"LMNB1",-1e-04,0,0,0,0
"MYL3",-0.04,0.0076,-0.0217,0,0.032
"ZNF586",-0.0037,0,0,0,0
"KCNG4",0.0116,0,0,0,0
"GREM2",0.002,0,0.0034,0,0.0026
"PHIP",-3e-04,0,0,0,0
"IGCD1",-0.0042,0,0,0,0
"PLCXD2",-0.0033,0,0,0,0
"PDZRN4",-0.004,0,0,0,0
"TMEM159",7e-04,0,0,0,0
"LOC116359",1e-04,0,0,0,0
"ZNF804B",-0.0266,0,0,0,0
"HBD",-0.0167,0,0,0,0
"TMEM233",-0.001,0,0,0,-0.0032
"SHOC2",-6e-04,0,0,0,0
"ZFP62",-0.0011,0,0,0,0
"INPP5K",4e-04,0,0,0,0
"LOC100133184",0.0014,0.0134,0,0,0
"LOC100132018",-0.0016,0,0,0,0
"LGI2",-6e-04,4e-04,0,0,0
"HNRNPA3",-1e-04,0,0,0,0
"LIMS1",-7e-04,0,0,0,0
"POU2F1",-0.0022,0,0,0,0
"HS3ST3B1",-0.0032,0,0,0,0
"LOC100506644",-0.0011,0,0,0,0
"ELOVL1",2e-04,0,0,0,0
"LOC92224",-0.0052,0,0,0,0
"DNLC2B",-0.0386,0,0,0,0
"SNORA45B",0.0469,0,0,0,0
"CWC27",-0.0011,0,0,0,0
"PRMT8",-0.0491,0,0,0,0.0426
"TNFAIP1",4e-04,0,0,0,0
"RBMX",-2e-04,0,0,0,0
"LBR",-3e-04,0,0,0,0
"LOC100128288",-0.0035,0,0,0,0
